SMILES of Virtual Hit Molecule;Enamine ID;Rank
O=C(NCc1ccc(OC)cc1)C1CCN(c2n(C)c3C(=O)NC(=O)N(C)c3n2)CC1;Z1324005386;25
O=C(CN(C)c1ncnc2nc[nH]c12)N1C(C(=O)Nc2cc3c(OCC3)cc2)CCCC1;Z1251536663;25
Nc1nc(N2CC3(Oc4c(cccc4)CC3)CC2)nc2nc[nH]c12;Z3558647317;25
O=C1c2c(OC3(CN(c4nc(O)c5n(C)cnc5n4)CC3)C1)cccc2;Z3718897576;25
O=C(NC1[C@H]2[C@@H]1CN(c1nc(O)c3n(C)cnc3n1)C2)C(OC)C1CC1;m_274310____14112724____12658318____15870922;25
S(CCC(=O)N[C@H]1[C@]2(c3c(OCC2)cccc3)C1)c1ncnc2[nH]cnc12;Z3716548323;25
O=C(N(CCCn1c2ncnc(N)c2nc1)C)C[C@H]1[C@@H](C)c2c(O1)cccc2;Z3553658711;25
O(C)c1ccc(C(O)C2N(Cc3[nH]c4N(C)C(=O)N(C)C(=O)c4n3)CCC2)cc1;Z1579784710;26
O=C(OC)[C@H]1[C@H](c2ccc(O)cc2)CN(c2n(C)c3C(=O)NC(=O)N(C)c3n2)C1;Z2272917983;26
S(CCC(=O)N1c2c(O)cccc2CCC1)c1ncnc2[nH]cnc12;Z2800776614;26
O=C(C(C)n1c2ncnc(N)c2nc1)N1c2c(c(OC)cc(OC)c2)CCC1;Z2718613695;26
O=C(N1c2c(O)ccc(C)c2CCC1)c1ncnc2nc[nH]c12;Z3633743584;26
O=C(CCCn1c2ncnc(N)c2nc1)N1C(c2c(C)ccc(OC)c2)CCC1;Z3625588096;26
S(CCC(=O)N1c2c(c(OC)cc(OC)c2)CCC1)c1ncnc2[nH]cnc12;Z2802414376;26
O=C(NC1C(Oc2ccc(OCCC)cc2)CCCC1)Cn1c2ncnc(N)c2nc1;Z1221099746;26
FC(F)(F)Oc1c(CN(C(=O)CCc2[nH]c3C(=O)NC(=O)N(C)c3n2)C2CCCC2)cccc1;Z1129106216;26
O=C(N1CCC(C(=O)OCc2n(C)c3C(=O)NC(=O)N(C)c3n2)CC1)c1c(O)ccc(C)c1;Z847468834;27
O=C(N1CCC(C(=O)c2ccc(O)cc2)CC1)c1ncnc2nc[nH]c12;s_22____7104936____12807966;27
O=C(NC1CCN(c2ncnc3n(C)cnc23)CC1)Cc1ccc(O)cc1;Z1232675159;27
O(C)c1ccc(C2C(C)CCN(c3nc(O)c4n(C)cnc4n3)C2)cc1;s_27____16893182____15341790;27
O=C(NCC1N(Cc2ccc(OC)cc2)CC1)CCn1c2ncnc(N)c2nc1;Z2718545664;27
