SMILES of Virtual Hit Molecule;Enamine ID;Rank
O=C(NC1CN(C(=O)C=2Oc3c(C(=O)C=2)cccc3)C(C)C1)C(O)(C)C;m_275592____14115192____14135622____15857148;25
O=C(CO)N1CC(C2(NC(=O)C=3Oc4c(C(=O)C=3)cccc4)CC2)CC1;m_275592____15865248____14135622____15855972;25
O=C(NC1C2C(C1)CNC2)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3888577151;25
Fc1cc2C(=O)C=C(C(=O)N(Cc3c(OC)cc(OC)cc3)CC3CCC3)Oc2cc1;Z2012113257;25
O=C(COc1cc2OC=C(c3ccc(OC)cc3)C(=O)c2cc1)N1C(C2CC2)COCC1;Z1607287591;25
O=C(N1CC2(OCC(C(=O)OC)C2)C1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3896573403;25
Fc1cc2OC(C(=O)OC(C(=O)N(Cc3ccc(OC)cc3)C)C(C)C)=CC(=O)c2cc1;Z2081186863;25
O=C(N1CC2(OC(C)(C)C(=O)N2)CCC1)c1cc2OC=CC(=O)c2cc1;Z3651337353;25
O=C(CC(C)C)N1CC(NC(=O)C=2Oc3c(c(OC)ccc3)C(=O)C=2)CCC1;Z3874170698;26
O=C(O)CC(CNC(=O)C=1Oc2c(c(OC)ccc2)C(=O)C=1)C1CC1;s_269946____12116214____16808394;26
O=C(N1CC(C(=O)N2CCNCC2)CCC1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3864007472;26
O=C(N(C)C1(CN)CCCCC1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3888403320;26
O=C(NC(C1OCCC1)C1CCC1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3992643396;26
Brc1cc2C(=O)C=C(C(=O)N3CCC(COC)CCC3)Oc2cc1;Z2356215202;26
O=C(N1C(C(O)c2ccc(OC)cc2)CCC1)c1cc2OC=CC(=O)c2cc1;Z1997213384;27
O=C(OC)CC1C(C)(C)CN(C(=O)Nc2cc3C(=O)C=COc3cc2)C1;Z3842752608;27
O=C(N(CCOC)C1CC(C)CC1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3991152655;27
O=C(COC)N1CC(C(NC(=O)C=2Oc3c(C(=O)C=2)cccc3)C)CC1;m_275592____14114984____13186896____14129018;27
O=C(C(NC(=O)C=1Oc2c(c(OC)ccc2)C(=O)C=1)C(C)C)N1CCCCC1;Z3876104831;28
O=C(N1CC2(c3c(ccc(O)c3)C1)CC2)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3992007795;28
O=C(C)N1CCC(NC(=O)C=2Oc3c(C(=O)C=2)cccc3)(COC)CC1;m_275592____15865116____14135622____13186206;28
O=C(N1CC2=C(NC(=O)CC2)CC1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3992512941;28
O=C(N1C(CC(C)C)CN(C)CC1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3992735631;28
O=C(C(OC(=O)c1cc2OC=CC(=O)c2cc1)C(C)C)N1CCCCC1;Z1996437517;28
O=C(N1c2c(cccc2)CC(CCN)C1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3888457367;28
O=C(NC(C(N)C)CCc1ccccc1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3888738949;28
O=C(C(NC(=O)C1=C(C)C(=O)c2c(O1)cccc2)C(C)C)N1CCCCC1;Z3867509004;28
O=C(NC(CC1COCC1)C)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3990785838;28
O=C(NC1CCN(C(=O)c2c(O)cccc2)CC1)c1cc2OC=CC(=O)c2cc1;Z1996766199;28
O=C(N1C(C)CC(N2CCCC2)C1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3991898636;29
O=C(NCCc1c(O)cc(OC)cc1)c1cc2OC=CC(=O)c2cc1;Z1997175106;30
