SMILES of Virtual Hit Molecule;Enamine ID;Rank
O=C(C(C)n1c2ncnc(N)c2nc1)N1C2C(O)C3CC2C(C1)C3;Z2638506479;18
O=C(NCC12N(c3ncnc4nc[nH]c34)C(CC1)CC2)C(CCOC)C;m_274310____15937394____14119722____12649998;18
O=C(NC1CC2(C(Nc3ncnc4nc[nH]c34)C2)C1)C1(CO)OCCC1;m_274310____15937912____15941372____12649998;18
O=C(N1C(C2OCCC2)CC(C(=O)OC)CC1)c1ncnc2nc[nH]c12;s_22____13267446____12807966;18
O(C)c1cc(OC)cc(NC2CCN(Cc3n(C)c4C(=O)NC(=O)N(C)c4n3)CC2)c1;Z1384383617;18
Clc1cc(C(=O)N2C(C(=O)OCc3n(C)c4C(=O)NC(=O)N(C)c4n3)CCC2)c(OC)cc1;Z847459836;18
O=C(NCC[C@H]1[C@H](Cc2ccccc2)C1)CCCn1c2ncnc(N)c2nc1;Z3205347148;18
O=C(C)N1CC(O)(CNc2nc(C(=O)OC)c3nc[nH]c3n2)CCC1;m_274310____15938210____12185798____15870962;19
O=C(COC)N1CC(O)(CNc2ncnc3n(CC)cnc23)CCC1;m_274310____15938210____12170228____12359766;19
OC[C@@H]1[C@@H](O)[C@@H](O)[C@H](n2c3ncnc(N(CC4OCCC4)C4CCC(C)CC4)c3nc2)O1;Z2091377027;19
Clc1nc(NCC(O)(Cc2cc(OC)c(OC)cc2)C)c2n(C)cnc2n1;Z3718890872;19
O=C(NC1C2N(c3ncnc4nc[nH]c34)CCC(C2)CC1)C1(OC)CC1;m_274310____15937982____15941572____12649998;19
FC(C(=O)N1CC(O)(CNc2ncnc3nc[nH]c23)C1)C1COCC1;m_274310____15938070____15944434____12649998;19
O=C(NC(C)C1(O)CN(c2ncnc3nc[nH]c23)C1)C(CCCC)C;m_274310____15937924____12658330____12649998;19
O=C(NC(C)C1(O)CN(c2ncnc3n(CC)cnc23)C1)CC1C(C)C1;m_274310____15937924____14119070____12359766;19
O=C(N1CC(O)(CNc2nc(O)c3n(C)cnc3n2)CCC1)C1CC1;m_274310____15938210____12185802____15870922;19
O=C(NCC1C2N(C(=O)Cn3c4ncnc(N)c4nc3)C(C1)CC2)CO;m_275592____15865586____15841508____15858030;19
O=C(NC1C2CN(C(=O)Cn3c4ncnc(N)c4nc3)C(C2)CC1)CO;m_275592____15865730____15841508____15858030;19
OC[C@@H]1[C@@H](O)[C@@H](O)[C@H](n2c3ncnc(N4C5C=C(c6ccccc6)CC4CC5)c3nc2)O1;Z2093253451;19
O=C(NCC(O)CNc1nc(O)c2n(C)cnc2n1)C1CC(C)CC1;m_274310____14112866____14118336____15870922;19
O=C(N1CCC(Nc2ncnc3nc[nH]c23)(CO)CC1)C1CC(C)CC1;m_274310____15937466____14118336____12649998;19
O=C(NC1[C@H]2[C@@H]1CN(c1nc3nc[nH]c3cn1)C2)C1(CO)OCCC1;m_274310____14112724____15941372____15870074;19
O=C(OC)[C@@H](NC(=O)CNc1ncnc2n(-c3ccccc3)cnc12)CC(C)C;Z2612396856;19
O=C(NCC1(OC)CN(c2ncnc3nc[nH]c23)C1)C1CC2C(C2)CC1;m_274310____15938246____14121258____12649998;19
O=C(NCC1(OC)CN(c2nc3nc[nH]c3cn2)C1)C1C2C(C2)CCC1;m_274310____15938246____14121254____15870074;19
O=C(N1CC(O)C(NC(=O)C2CC(C)C2)CC1)c1ncnc2nc[nH]c12;m_275592____14114572____13187300____15863234;19
O=C(NC1C(C)(C)C2N(C(=O)c3ncnc4nc[nH]c34)CCCC12)CO;m_275592____14114516____15841508____15863234;19
O=C(NC1C(C)(C)C2N(c3nc4ncn(C)c4cn3)CCCC12)CO;m_274310____14113376____15943396____15871096;19
O=C(CC1(O)COCC1)N1C[C@H]2[C@@H](C1)CN(c1nc3nc[nH]c3cn1)C2;m_274310____14112980____15941282____15870074;19
Clc1nc(NCC2CC(NC(=O)C3(O)CC3)CC2)c2[nH]cnc2n1;m_274310____14113186____15941446____15867404;19
