SMILES of Virtual Hit Molecule;Enamine ID
O=C(CO)N1CC2C(NC(=O)C=3Oc4c(C(=O)C=3)cccc4)CC2C1;m_275592____15865142____14135622____15855972
O=C(N1CCC(NCC(C)C)(CO)CC1)c1cc2OC=CC(=O)c2cc1;Z2914631467
O=C(OC)CC1CN(C(=O)C=2Oc3c(C(=O)C=2)cccc3)C2(C1)CCOCC2;Z3909823022
O=C(NC12COC(C1)CCC2)C=1Oc2c(c(OC)ccc2)C(=O)C=1;s_22____15149284____16808382
O=C(CC(O)CC)N1CC(NC(=O)C=2Oc3c(C(=O)C=2)cccc3)(C)C1;m_275592____15865080____14135622____15859710
O=C(N1C(C(=O)OC)CCC(C(=O)OC)C1)C=1Oc2c(C(=O)C=1)cccc2;Z2718748279
Clc1cc2C(=O)C=C(C(=O)N3C4(CC(N)C3)COCCC4)Oc2cc1;Z3521197007
O=C(N(Cc1ccccc1)[C@H]1[C@H](O)CNC1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3888779761
FC(F)C1CCC(NC(=O)C=2Oc3c(C(=O)C=2)ccc(F)c3)(C(=O)OC)CC1;Z3611191637
Clc1cc2OC(C(=O)N3[C@H](C(=O)OC)[C@H]4[C@@H](C3)CC4)=CC(=O)c2cc1;Z3603328357
O=C(CN1c2c(Sc3c1cccc3)cccc2)N1C(C(=O)O)(CCO)CCC1;Z4085115090
O=C(Nc1ncnc2[nH]cnc12)C(OC(=O)C1CN(c2c(OC)cccc2)C(=O)CC1)C;Z2148718536
Clc1cc2C(=O)C=C(C(=O)NCC3(Cc4ccc(F)cc4)C(O)CCC3)Oc2cc1;Z1867056843
O=C(N1CC(C(=O)N2CCNCC2)CCC1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3864007472
Fc1cc2OC(C(=O)N3C4(C(CO)CC3)CCOCC4)=CC(=O)c2cc1;Z4025349796
O=C(N1C2(CC(O)CC1)CC2)c1cc2OC=CC(=O)c2cc1;Z3608741100
Fc1cc2OC(C(=O)N3CCN(c4ncnc5[nH]cnc45)CCC3)CCc2cc1;Z2331867981
Fc1cc2C(=O)C=C(C(=O)N3[C@]4(C(=O)OC)[C@H](CC3)CC4)Oc2cc1;Z3090867708
Fc1cc2OC(C(=O)N[C@]3(C(=O)OC)C(C)(C)[C@H](OCC)C3)=CC(=O)c2cc1;Z4094033893
O=C(NCC1(O)CC(Nc2ncnc3c2[nH]c(C)c3)C1)C1C(C)OCC1;m_274310____15938284____14120552____15869892
O=C(N1C2CC(O)(Cc3ccccc3)CC1CC2)c1ncnc2nc[nH]c12;Z3550742181
O=C(C)N1CCC(NC(=O)C=2Oc3c(C(=O)C=2)cccc3)(COC)CC1;m_275592____15865116____14135622____13186206
Clc1cc2C(=O)C=C(C(=O)N3C(CO)(C)CC(OC)C3)Oc2cc1;Z2783244495
O=C(NC1CN(C(=O)C=2Oc3c(C(=O)C=2)cccc3)CC(C)(C)C1)CO;m_275592____15865446____15841508____14129018
Fc1cc2C(=O)C=C(C(=O)N(CCCC)[C@H]3[C@H](OC)CCCC3)Oc2cc1;Z2325379227
O=C(N(Cc1ccc(O)cc1)CC1N(CC)CCC1)CN(C)c1ncnc2nc[nH]c12;Z1560342799
O=C(NC1CCN(c2ncnc3n(C)cnc23)CC1)Cc1ccc(O)cc1;Z1232675159
Brc1cc2OC(C(=O)NCC(O)C3COCC3)=CC(=O)c2cc1;Z3844066743
O=C(Nc1cc2C(=O)C=COc2cc1)N1C(C(=O)O)C(C)(C)CCC1;m_272330____13770678____17522432
Clc1cc2C(=O)C=C(C(=O)NC(C(=O)OC)CC3COCC3)Oc2cc1;Z3625797007
O=C(NCCc1cc(OC)c(O)c(OC)c1)Cn1c2ncnc(N)c2nc1;Z2646187688
FC(F)(F)c1nc(NCC2(O)c3c(cc(OC)cc3)CC2)nc2[nH]cnc12;Z3831246111
O=C(NCCO)[C@@H](Nc1nc(Nc2ccccc2)c2[nH]cnc2n1)CC(C)C;Z2612164244
Fc1c(CC2(O)CC3N(Cc4[nH]c5N(C)C(=O)N(C)C(=O)c5n4)C(C2)CC3)ccc(F)c1;Z1587892847
O=C(NCC1(O)CC(Nc2nc3nc[nH]c3cn2)C1)C1CC(C)CCC1;m_274310____15938284____14116450____15870074
O=C(N1CCC(NCC2CC2)(CO)CC1)C1=C(C)C(=O)c2c(O1)cccc2;Z3985743823
Clc1cc2C(=O)C=C(C(=O)N(Cc3ccccc3)CC3(O)C(C)OCC3)Oc2cc1;Z1934850584
O=C(Nc1cc2C(=O)C=COc2cc1)N1CC2(C#N)C(C1)CCCCC2;Z3599057171
O=C(NC1C(OC)CC(c2ccccc2)CC1)CCn1c2ncnc(N)c2nc1;Z2639282281
O=C(NCC(CO)Cc1cc(OC)cc(OC)c1)c1cc2OC=CC(=O)c2cc1;Z1997084228
Clc1cc2OC(C(=O)N3C[C@@]4(F)[C@@](CO)(C3)CCC4)=CC(=O)c2cc1;Z4025236971
O=C(NCC12OCC(Nc3nc4nc[nH]c4cn3)(C1)CC2)C(O)C1CC1;m_274310____15938212____15941824____15870074
FC(F)(F)c1nc(N2[C@@H]([C@H](O)CC2)c2c(OC)cccc2)nc2[nH]cnc12;Z3394231043
O=C(N1[C@@H]2[C@@H](CC3(OCCO3)CC2)CCC1)C1=C(C)C(=O)c2c(O1)cccc2;Z3610547741
O=C1N(C)C(=O)c2n(CCCN(CC3(O)c4c(cccc4)CC3)C)cnc2N1C;Z3650812002
O=C(N1CC(O)(CNc2ncnc3c2[nH]c(C)c3)CCC1)[C@H]1COCC1;m_274310____15938210____14118150____15869892
O=C(CCn1c2ncnc(N)c2nc1)N1CC(C(C)c2cc(OC)ccc2)CC1;Z4087579625
O=C(Cn1c2ncnc(N)c2nc1)N1CCC(Nc2cc(OC)cc(OC)c2)CC1;Z1382668032
OC1CC2C(CN(c3ncnc4n(-c5ccccc5)cnc34)C2)CC1;Z2613649233
O=C(NCC12N(c3nc4n(C)cnc4cn3)C(CC1)CC2)C1(O)COC1;m_274310____15937394____15939740____15871032
O=C(N1CC(O)(CNc2nc3n(C)cnc3cn2)CCC1)C1C2(C1)CC2;m_274310____15938210____14116668____15871032
O=C(N[C@H]1CN(c2nc3nc[nH]c3cn2)CC1)CC1(O)COCCC1;m_274310____14112798____15940692____15870074
O=C(NC1C2CN(c3nc4ncn(C)c4cn3)C(C2)CC1)C1(O)COC1;m_274310____15937726____15939740____15871096
O(C)c1ccc(C2C(C)CCN(c3nc(O)c4n(C)cnc4n3)C2)cc1;s_27____16893182____15341790
