SMILES of Virtual Hit Molecule;Enamine ID;Rank
Clc1cc2C(=O)C=C(C(=O)N(Cc3ccccc3)CC3(O)C(C)OCC3)Oc2cc1;Z1934850584;49
O=C(N1C2C(OC)CCC1C(OC)CC2)C1=C(C)C(=O)c2c(O1)cccc2;Z3742277119;49
O=C(NC12C3(OC(CO)(C1)C2)CCC3)c1cc2OC=CC(=O)c2cc1;Z3651603058;49
Clc1cc2C(=O)C=C(C(=O)N3C[C@@H](C(=O)OC)[C@H](C(C)C)C3)Oc2cc1;Z3714385651;49
O=C(NC(C1OCCC1)C1CCC1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3992643396;49
O=C(OC)CC1C(C)(C)CN(C(=O)Nc2cc3C(=O)C=COc3cc2)C1;Z3842752608;49
O=C(N1C(CC(C)C)CN(C)CC1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3992735631;49
Clc1cc2OC(C(=O)N3[C@@H]4[C@@](CO)(CCC3)CCCC4)=CC(=O)c2cc1;Z3711281072;50
Clc1cc2C(=O)C=C(C(=O)N3C4C(CO)C(C3)CCC4)Oc2cc1;Z3611187100;50
Fc1cc2OC(C(=O)N3C4C(O)CCCC3CC4)=CC(=O)c2cc1;Z3605684966;50
O=C(N(Cc1ccccc1)[C@H]1[C@H](O)CNC1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3888779761;50
O=C(N1C2(CC(O)CC1)CC2)c1cc2OC=CC(=O)c2cc1;Z3608741100;50
Clc1cc2C(=O)C=C(C(=O)N3C(COC)(C4CC4)CCC3)Oc2cc1;Z1967607962;50
O(C(C)(C)C)C(=O)[C@@H]1[C@H](NC(=O)C=2Oc3c(c(OC)ccc3)C(=O)C=2)CCC1;Z3992757776;50
O=C(NC1C2C(C1)CNC2)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3888577151;50
Fc1cc2OC(C(=O)N3C[C@@]4(CO)[C@@H](C3)CCCC4)=CC(=O)c2cc1;Z3639515164;51
FC(F)C1CCC(NC(=O)C=2Oc3c(C(=O)C=2)ccc(F)c3)(C(=O)OC)CC1;Z3611191637;51
Clc1cc2OC(C(=O)N3[C@H](C(=O)OC)[C@H]4[C@@H](C3)CC4)=CC(=O)c2cc1;Z3603328357;51
Clc1cc2C(=O)C=C(C(=O)NC(C(=O)OC)CC3COCC3)Oc2cc1;Z3625797007;51
O=C(Nc1cc2C(=O)C=COc2cc1)N1CC2(C#N)C(C1)CCCCC2;Z3599057171;51
O=C(Nc1cc2C(=O)C=COc2cc1)N1C[C@H]2[C@@H](C(C)(C)CC1)OCC2;Z3599057358;51
O=C(OC)[C@@]1(NC(=O)C2=C(C)C(=O)c3c(O2)cccc3)C(C)(C)[C@H](OCC)C1;Z4094031869;52
Fc1cc2C(=O)C=C(C(=O)N3[C@]4(C(=O)OC)[C@H](CC3)CC4)Oc2cc1;Z3090867708;52
O=C(NCC12CC3(OC)CC(C1)CC(C3)C2)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3907198120;52
Fc1cc2C(=O)C=C(C(=O)N3C4(C(O)CC3)CSCC4)Oc2cc1;Z2676162492;52
O=C(N1CCC2(C(CN)CCC2)CC1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3888576763;52
Clc1cc2C(=O)C=C(C(=O)N3[C@H](CC(=O)OC)CC4(C3)CC4)Oc2cc1;Z3594536999;52
FC(F)(F)C(O)C1N(C(=O)C2=C(C)C(=O)c3c(O2)cccc3)CCCC1;Z3202640551;52
O=C(NCC1(C)C(C2CC2)OCC1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3990992909;52
O=C(OC(C)(C)C)N[C@H]1[C@@H]2N(C(=O)C=3Oc4c(C(=O)C=3)cccc4)CC[C@@H]2CC1;Z3917261980;52
O=C(N1C2(c3sccc3)C(CC1)CC2)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3992774833;52
O=C(NCCc1c(O)cc(OC)cc1)c1cc2OC=CC(=O)c2cc1;Z1997175106;52
O=C(N1[C@@H]2[C@@H](CC3(OCCO3)CC2)CCC1)C1=C(C)C(=O)c2c(O1)cccc2;Z3610547741;53
FC(F)C1CCC(OC)(CNC(=O)C2=C(C)C(=O)c3c(O2)cccc3)CC1;Z3086219099;53
O=C(NCC1C2C1CN(CCCO)C2)C=1Oc2c(C(=O)C=1)cccc2;m_275030____14114272____14122416____14147082;53
O=C(N(CCC1N(C)CCCC1)C)C=1Oc2c(c(OC)ccc2)C(=O)C=1;s_22____6008902____16808382;53
O=C(C(OC(=O)c1cc2OC=CC(=O)c2cc1)C(C)C)N1CCCCC1;Z1996437517;53
O=C(NCC(CO)Cc1cc(OC)cc(OC)c1)c1cc2OC=CC(=O)c2cc1;Z1997084228;54
Fc1cc2OC(C(=O)NC3CC4(N(C(OC(C)(C)C)=O)CC3)CCC4)=CC(=O)c2cc1;Z2228675612;54
Brc1cc2OC(C(=O)N3C(C)(C)CCC(O)C3)=CC(=O)c2cc1;Z4094634237;54
Fc1cc2OC(C(=O)N3C4(CO)CC(C3)CCC4)=CC(=O)c2cc1;Z3590163460;54
Fc1cc2C(=O)C=C(C(=O)N(Cc3c(OC)cc(OC)cc3)CC3CCC3)Oc2cc1;Z2012113257;54
O=C(N1C(C)CC(N2CCCC2)C1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3991898636;54
O=C(NCCC1(O)CCN(c2ccccc2)CC1)c1cc2OC=CC(=O)c2cc1;Z2782940350;55
O=C(N1[C@H]2[C@@](CO)(CC1)CCC2)c1cc2OC=CC(=O)c2cc1;Z2884193684;55
O(C(C)(C)C)C(=O)N1C2C(CNC(=O)c3cc4OC=CC(=O)c4cc3)CC1CC2;Z3640675444;55
O=C(N1c2c(cccc2)CC(CCN)C1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3888457367;55
O=C(N1CC2(OC[C@H]3[C@@H]2C3)CCC1)C1=C(C)C(=O)c2c(O1)cccc2;Z3624312239;56
Fc1cc2C(=O)C=C(C(=O)N(CC3OCCC3)C3CCC(C)CC3)Oc2cc1;Z1265406108;56
Fc1cc2C(=O)C=C(C(=O)N3C4(CC(C(=O)OC)C3)CCOCC4)Oc2cc1;Z3762702238;56
Fc1cc2C(=O)C=C(C(=O)N3C(C4(OCCC4)C3)C3CC3)Oc2cc1;Z2323886988;56
Clc1cc2OC(C(=O)N3C(C(C)C)CC(N4CCCC4)C3)=CC(=O)c2cc1;Z3371002165;56
O=C(N1[C@H](CO)C[C@@H]2OCC[C@H]12)c1cc2OC=CC(=O)c2cc1;Z3206125610;56
O=C(COc1cc2OC=C(c3ccc(OC)cc3)C(=O)c2cc1)N1C(C2CC2)COCC1;Z1607287591;56
Clc1cc2OC(C(=O)N3C[C@@]4(F)[C@@](CO)(C3)CCC4)=CC(=O)c2cc1;Z4025236971;57
Clc1cc2OC(C(=O)N3CCC4(C(O)CNC(=O)C4)CC3)=CC(=O)c2cc1;Z3715698020;57
O=C(NC(CO)CC1CCCCC1)c1cc2OC=CC(=O)c2cc1;Z2358342028;57
FC(F)(F)[C@H]1C[C@@H](CNC(=O)C=2Oc3c(c(OC)ccc3)C(=O)C=2)NC1;Z3889014326;58
O=C(NC(C(N)C)CCc1ccccc1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3888738949;58
Fc1cc2OC(C(=O)N[C@]3(C(=O)OC)C(C)(C)[C@H](OCC)C3)=CC(=O)c2cc1;Z4094033893;59
O=C(NC1C2CC3(O)CC1CC(C3)C2)C1=C(C)C(=O)c2c(O1)cccc2;Z3627268901;59
O=C(NC1CCC(O)(CCCC)CC1)C1=C(C)C(=O)c2c(O1)cccc2;Z3611618591;59
Clc1cc2OC(C(=O)N3[C@@H]4[C@H](C5(C3)CCOCC5)CCC4)=CC(=O)c2cc1;Z2373329143;59
O=C(NCCC1C2CC(C1)CC2)C=1Oc2c(c(OC)ccc2)C(=O)C=1;s_22____2081372____16808382;59
O=C(NC1C2(C(OC)C1C)CCC2)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3990945526;59
FC1(F)C2(C1)CC(CNC(=O)C=1Oc3c(c(OC)ccc3)C(=O)C=1)CC2;Z3992785722;59
O=C(N1CC2(C(CO)C1)CCOCC2)c1cc2OC=CC(=O)c2cc1;Z3611364130;59
O=C(CNC(=O)C=1Oc2c(c(OC)ccc2)C(=O)C=1)[C@H]1C[C@@H](C)CCC1;Z4094712227;59
O=C(OC)C1(C2CCOCC2)CN(C(=O)C2=C(C)C(=O)c3c(O2)cccc3)CC1;Z3596888886;59
O=C(NC(C)C1CN(C2CCC2)CCC1)C1=C(C)C(=O)c2c(O1)cccc2;Z3083610509;59
O=C(N1CC2(OCC(C(=O)OC)C2)C1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3896573403;59
O=C(N(CCOC)C1CC(C)CC1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3991152655;59
